dataset,set,n,validity,coverage,proximity_l1_jaccard,proximity_l2_jaccard,sparsity,lof_scores_cf,isolation_forest_scores_cf,eps_sparsity,validity_vs_true
heloc,fromscratch,2092,1.0,1.0,2.623426034890875,0.8290533929891315,1.0,1.008707238463465,0.11252694380094644,0.7667927508521074,0.7232313575525813
heloc,frozen,2092,0.3761950286806883,1.0,1.4371863097003323,0.5607332487852666,0.7391720009975892,6528790.513803324,0.07765954812581256,0.445610607698063,0.4225621414913958
law,fromscratch,444,1.0,1.0,0.731416146447362,0.6911834703736012,1.0,9.829090649677775,0.11416906030916693,0.9046546546546547,0.7815315315315315
law,frozen,444,1.0,1.0,0.7445423777254567,0.7000651604975386,1.0,8.72173457905332,0.11160205583900022,0.9234234234234234,0.7815315315315315
