selector,size,effective_size,strategy,class_scope,selection,n_test,validity,l0_count_mean,l0_count_median,l0_count_max,steps_mean,steps_median,steps_max,failure_rate,lof_scores_cf,sparsity,true_actionability,proximity_l2_jaccard,frac_oob,runtime_s
prob_ascent,256,256,random_target,target,random,100,0.7,1.2714285714285714,1.0,2.0,1.2714285714285714,1.0,2.0,0.3,1.0091344755561216,0.745,1.0,0.597544096186006,0.0,63.29
prob_ascent,256,256,random_both,both,random,100,0.73,1.3424657534246576,1.0,2.0,1.3424657534246576,1.0,2.0,0.27,1.0391848577891403,0.76,1.0,0.6351523576029672,0.0,65.26
prob_ascent,256,256,knn_target,target,knn,100,0.63,1.380952380952381,1.0,2.0,1.380952380952381,1.0,2.0,0.37,1.0212127101490451,0.805,1.0,0.5232100179140552,0.0,65.21
prob_ascent,256,256,knn_both,both,knn,100,0.37,1.2972972972972974,1.0,2.0,1.2972972972972974,1.0,2.0,0.63,1.0684008188363705,0.87,1.0,0.26343216125593566,0.0,70.77
prob_ascent,512,403,random_target,target,random,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,63.45
prob_ascent,512,512,random_both,both,random,100,0.82,1.329268292682927,1.0,2.0,1.329268292682927,1.0,2.0,0.18,1.0267217535173179,0.725,1.0,0.6589456742552344,0.0,67.1
prob_ascent,512,403,knn_target,target,knn,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,62.58
prob_ascent,512,512,knn_both,both,knn,100,0.56,1.2321428571428572,1.0,2.0,1.2321428571428572,1.0,2.0,0.44,1.169110558241404,0.785,1.0,0.3840634810409641,0.0,70.68
prob_ascent,1024,403,random_target,target,random,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,62.68
prob_ascent,1024,800,random_both,both,random,100,0.82,1.3414634146341464,1.0,2.0,1.3414634146341464,1.0,2.0,0.18,1.0004510050569582,0.73,1.0,0.6604892453310443,0.0,74.74
prob_ascent,1024,403,knn_target,target,knn,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,63.81
prob_ascent,1024,800,knn_both,both,knn,100,0.82,1.3414634146341464,1.0,2.0,1.3414634146341464,1.0,2.0,0.18,1.0004510050569582,0.73,1.0,0.6604892453310443,0.0,74.65
prob_ascent,2048,403,random_target,target,random,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,62.29
prob_ascent,2048,800,random_both,both,random,100,0.82,1.3414634146341464,1.0,2.0,1.3414634146341464,1.0,2.0,0.18,1.0004510050569582,0.73,1.0,0.6604892453310443,0.0,73.94
prob_ascent,2048,403,knn_target,target,knn,100,0.71,1.2535211267605635,1.0,2.0,1.2535211267605635,1.0,2.0,0.29,1.006051930127479,0.735,1.0,0.6138416208486678,0.0,62.67
prob_ascent,2048,800,knn_both,both,knn,100,0.82,1.3414634146341464,1.0,2.0,1.3414634146341464,1.0,2.0,0.18,1.0004510050569582,0.73,1.0,0.6604892453310443,0.0,75.74
