feature_idx,feature_name,mse_marginal,mae_marginal,mse_ridge,mae_ridge,mse_tabpfn,mae_tabpfn,beats_marginal,beats_ridge,calibration_10_90
0,ExternalRiskEstimate,0.048321705986489556,0.13789397428379668,0.0017606063910189517,0.03501664499863859,0.0010217924249223223,0.024488829215988515,True,True,0.6666666666666666
1,MSinceOldestTradeOpen,0.022136706469699716,0.11938178374742468,0.009739390097447197,0.07218710375482026,0.01214431759730829,0.07861888092229492,True,False,0.7333333333333333
2,MSinceMostRecentTradeOpen,0.0009447868880020991,0.020902553826619784,0.000505426056350192,0.015251903624340236,0.0006029185426532471,0.014458237643217823,True,False,0.6333333333333333
3,AverageMInFile,0.010804999535519956,0.0752308076631589,0.0031688683563588253,0.03977977006921732,0.0027028274535869324,0.03768901854831105,True,True,0.43333333333333335
4,NumSatisfactoryTrades,0.020362593034011976,0.11654217667949801,0.005525661254581405,0.04110605271503299,0.005217092157168409,0.02985835322760977,True,True,0.7
5,NumTrades60Ever2DerogPubRec,0.00928680317355665,0.04140441786207093,0.0007968382623541605,0.014137888859456523,0.12554241167252828,0.34102564851442974,False,False,0.06666666666666667
6,NumTrades90Ever2DerogPubRec,0.008735322238927892,0.035841597371199,0.0005441032403058486,0.01087114560618851,0.12602665493329393,0.3426666508118312,False,False,0.06666666666666667
7,PercentTradesNeverDelq,0.06411089208386932,0.15840013888633936,0.004268384611430933,0.042338965753252626,0.0044290019941946495,0.030698921903967856,True,False,0.8333333333333334
8,MSinceMostRecentDelq,0.05676222071854745,0.17096486887048806,0.023273629999479722,0.10936390066510934,0.033262885202080185,0.07502399858591767,True,False,0.7666666666666667
9,MaxDelq2PublicRecLast12M,0.047192847989995214,0.1295121156194809,0.002067200156514048,0.03268254753654461,0.6435185401527975,0.772222234805425,False,False,0.06666666666666667
10,MaxDelqEver,0.061303247234943174,0.1509810776569175,0.003797291038650763,0.036210102902289584,0.33206461897633444,0.40588237047195436,False,False,0.5
11,NumTotalTrades,0.01821624739847551,0.10547214590167672,0.007979557354020438,0.04548389773727187,0.00804241503362942,0.03931642939132871,True,False,0.7
12,NumTradesOpeninLast12M,0.012506233712158749,0.06471547796668667,0.0013196102480549528,0.029969125467391663,0.0004473817942061126,0.011816096674495687,True,True,0.8333333333333334
13,PercentInstallTrades,0.030060478869225596,0.1423470041868846,0.012341110333837299,0.09083010104827507,0.017213349557405323,0.0960350978130009,True,False,0.7333333333333333
14,MSinceMostRecentInqexcl7days,0.02897291689150441,0.12375868551071259,0.021289404405250668,0.10785420331398732,0.037693435815794894,0.14568360718064166,False,False,0.8
15,NumInqLast6M,0.0017967369750507794,0.021777777870496114,6.944748550822834e-07,0.0007392260340292579,0.007063862627203665,0.05522443650988862,False,False,0.5666666666666667
16,NumInqLast6Mexcl7days,0.00178847495695748,0.021777777870496114,1.0336294645878528e-06,0.0007241311483535527,4.4213125916241387e-07,0.00019410543027333915,True,True,0.9333333333333333
17,NetFractionRevolvingBurden,0.02123553645386045,0.12298262242800218,0.006430585644857264,0.06395225393012823,0.003282033590649341,0.038991040616626074,True,True,0.6666666666666666
18,NetFractionInstallBurden,0.007193721073131038,0.07951481225122858,0.004040925551594762,0.054767804583939525,0.01666550263075789,0.09763594467713119,False,False,0.8666666666666667
19,NumRevolvingTradesWBalance,0.011134830860302878,0.07207720137514878,0.002359692962018527,0.03592493778393193,0.002948686380244242,0.03505212722035746,True,False,0.6666666666666666
20,NumInstallTradesWBalance,0.01448101228355256,0.07667709951794745,0.004065858201431217,0.041734659503911184,0.0035784183660071993,0.027230445571088543,True,True,0.8
21,NumBank2NatlTradesWHighUtilization,0.012257895747269727,0.05685504525252811,0.003883064798087365,0.039177875762462774,0.055949493228757426,0.1740240642762122,False,False,0.43333333333333335
22,PercentTradesWBalance,0.07424278538872274,0.2188687253543796,0.013139171575514723,0.0878321936992445,0.019083395762824067,0.09101173155747043,True,False,0.7333333333333333
