dataset,cell,selector,strategy,size,effective_size,budget,force_numeric_cols,force_numeric_names,n_test,validity,failure_rate,l0_count_mean,steps_mean,steps_max,proximity_l2_jaccard,lof_scores_cf,frac_oob,true_actionability,runtime_s
heloc,baseline,prob_ascent,knn_both,256,256,1,none,none,1,1.0,0.0,1.0,1.0,1.0,0.3461538553237915,1.8622043400167159,0.0,1.0,4.39
heloc,override,prob_ascent,knn_both,256,256,1,"5,6,9,10,12","NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTradesOpeninLast12M",1,1.0,0.0,1.0,1.0,1.0,0.13333334028720856,1.0820471481593459,0.0,1.0,3.89
