validity,lof_scores_cf,sparsity,actionability,true_actionability,proximity_l2_jaccard,frac_oob,config_id,dataset,temperature,n_permutations,context_type,max_context
1.0,0.9874652297730913,1.0,0.0,1.0,0.6652549575952366,0.0,t1e9_np5_tgt,moons,1e-09,5,target_class_only,256
1.0,1.0221906649722579,1.0,0.0,1.0,0.6892916761691643,0.0,t05_np5_tgt,moons,0.5,5,target_class_only,256
1.0,1.0728679634179499,1.0,0.0,1.0,0.6827342045311544,0.016666666666666666,t10_np5_tgt,moons,1.0,5,target_class_only,256
1.0,1.0728679634179499,1.0,0.0,1.0,0.6827342045311544,0.016666666666666666,t10_np10_tgt,moons,1.0,10,target_class_only,256
0.9833333333333333,1.0603313222412027,1.0,0.0,1.0,0.6478289511713983,0.0,t10_np5_all,moons,1.0,5,all_classes,256
0.9833333333333333,1.0201503138304182,1.0,0.0,1.0,0.6427159442072437,0.0,t05_np5_all,moons,0.5,5,all_classes,256
