dataset,method,disc_type,total_cfs,l2c_validity,l2c_sparsity,l2c_diversity_weight_fast,l2c_hmean_sparsity_diversity,n_queries,n_failed,search_time_s
german,random,lr,5,100.0,89.92,14.105000000000006,24.38493823600097,100,0,5.159363269805908
german,random,lr,5,100.0,89.58,13.8825,24.039518666183397,200,0,10.410238265991211
