selector,context_scope,n_test,validity,l0_count_mean,steps_mean,steps_median,steps_max,failure_rate,lof_scores_cf,true_actionability,proximity_l2_jaccard,frac_oob,runtime_s
prob_ascent,target_only,100,0.69,1.2608695652173914,1.2608695652173914,1.0,2.0,0.31,1.0089045642300787,1.0,0.6048499194820769,0.0,67.78
class_divergence,all_classes,100,0.64,1.3125,1.3125,1.0,2.0,0.36,1.0109434632292396,1.0,0.6254764755727626,0.0,118.86
