ordering,actionable_set,n_masked,validity,lof_scores_cf,sparsity,true_actionability,proximity_l2_jaccard,frac_oob,runtime_s
random,full,17,0.4,1031816513.505729,0.7043478260869566,1.0,1.6227819110366095,0.5,145.8000226659933
dag,full,17,0.55,2467634051.734936,0.6869565217391305,1.0,1.4549315382139758,0.65,16.24640545801958
random,reduced,6,0.2,99452005.47520982,0.24782608695652175,1.0,0.37009622397928155,0.1,20.164314958034083
dag,reduced,6,0.5,11863431.370128667,0.24782608695652175,1.0,0.5353922037967946,0.1,4.237275041989051
