dataset,set,run_id,n,npz,beam_width,n_candidates,n_candidates_effective,candidate_probs,lambda_actionable,lambda_immutable,max_context,n_estimators,chunk_size,max_test,freeze_immutable,git_commit,slurm_job_id,device,elapsed_s,number_of_instances,n_valid,validity_target,UNRELIABLE__validity_vs_true,disc_accuracy,proximity_l1_continuous,UNRELIABLE__sparsity_categorical,eps_sparsity,lof_score_median_log,UNRELIABLE__pairwise_diversity_mixed,sparsity_categorical_decoded,cf_onehot_cells_exactly_binary,n_continuous,n_categorical_onehot,coverage,proximity_l1_jaccard,proximity_l2_jaccard,UNRELIABLE__sparsity,UNRELIABLE__lof_scores_cf,isolation_forest_scores_cf,registry__eps_sparsity,n_allzero_rows,validity_excl_allzero,validity_among_allzero,allzero_cfs_identical
heloc,frozen,lam0,2092,exp4_heloc_frozen__lam0_cfs.npz,8,6,6,interior,0.0,0.0,256,4,4096,,True,e8bc0eb,20359809,cuda,15.88,2092,872,0.4168260038240918,0.43738049713193117,0.7232313575525813,0.06559230570892932,0.0,0.4744216194654966,0.03574911220867902,,,,23,0,1.0,1.5086230313053746,0.5892703943072939,0.7391304347826086,7714803.956820467,0.07653291139831433,0.45460969324133343,115,0.4410723318158826,0.0,False
heloc,frozen,lam0.1,2092,exp4_heloc_frozen__lam0.1_cfs.npz,8,6,6,interior,0.1,0.1,256,4,4096,,True,e8bc0eb,20359809,cuda,16.57,2092,863,0.41252390057361377,0.4349904397705545,0.7232313575525813,0.0652326196558916,0.0,0.4729709305254673,0.035201643065283984,,,,23,0,1.0,1.5003502520855068,0.5862784773769849,0.739151217890099,7714803.955977899,0.07673479523268582,0.4527599966747028,115,0.4365199797673242,0.0,False
heloc,frozen,lam10,2092,exp4_heloc_frozen__lam10_cfs.npz,8,6,6,interior,10.0,10.0,256,4,4096,,True,e8bc0eb,20359809,cuda,16.11,2092,398,0.19024856596558318,0.3207456978967495,0.7232313575525813,0.04182110778356725,0.0,0.4026655014201442,0.038500352335218826,,,,23,0,1.0,0.9618854790220468,0.3935512925980991,0.739151217890099,7714803.945049298,0.08132510612332006,0.36896250727408764,115,0.2013151239251391,0.0,False
heloc,frozen,lam3,2092,exp4_heloc_frozen__lam3_cfs.npz,8,6,6,interior,3.0,3.0,256,4,4096,,True,e8bc0eb,20359809,cuda,16.03,2092,662,0.31644359464627153,0.3953154875717017,0.7232313575525813,0.05672704633304236,0.0,0.45402600814396427,0.03369741146756228,,,,23,0,1.0,1.3047220656599743,0.5083489976007303,0.7391927841050794,7714803.947712465,0.08078942730236673,0.4267811123119129,115,0.3348507840161861,0.0,False
heloc,frozen,nc10,2092,exp4_heloc_frozen__nc10_cfs.npz,8,10,10,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359809,cuda,16.76,2092,799,0.38193116634799235,0.4225621414913958,0.7232313575525813,0.061956635475509995,0.0,0.4628067693312293,0.033280338694107875,,,,23,0,1.0,1.42500261593673,0.5591717906001431,0.7391720009975892,3814182.154466203,0.07797510678594202,0.4436569955939812,115,0.404147698533131,0.0,True
heloc,frozen,nc16,2092,exp4_heloc_frozen__nc16_cfs.npz,8,16,16,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359809,cuda,17.28,2092,804,0.384321223709369,0.41539196940726575,0.7232313575525813,0.061414885998644565,0.0,0.46025308241401686,0.035435197769885775,,,,23,0,1.0,1.4125423779688249,0.5559355946817681,0.7391096516751184,8225253.926979745,0.07791088862905596,0.4422645273921357,115,0.40667678300455234,0.0,False
heloc,frozen,nc4,2092,exp4_heloc_frozen__nc4_cfs.npz,8,4,4,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359809,cuda,16.54,2092,823,0.3934034416826004,0.43690248565965584,0.7232313575525813,0.06365866038137197,0.0,0.4660573722859105,0.03366136884438785,,,,23,0,1.0,1.4641491887715554,0.5687183762535463,0.739151217890099,7819969.896345885,0.07784461393726831,0.4459015712029263,115,0.4162873039959535,0.0,True
heloc,frozen,probs-tail,2092,exp4_heloc_frozen__probs-tail_cfs.npz,8,6,6,"0.05,0.25,0.5,0.75,0.95",1.0,1.0,256,4,4096,,True,e8bc0eb,20359809,cuda,15.93,2092,812,0.3881453154875717,0.43164435946462715,0.7232313575525813,0.06405670014934119,0.0,0.46632041122296,0.03476901037437917,,,,23,0,1.0,1.4733041034348475,0.5726803615357323,0.739151217890099,7808019.658651541,0.07735547123037202,0.44581843877296534,115,0.4107233181588265,0.0,True
law,fromscratch,base,444,exp4_law_fromscratch__base_cfs.npz,8,6,6,interior,1.0,1.0,256,4,4096,,False,6931e21,20359812,cuda,73.94,444,444,1.0,0.7815315315315315,0.7815315315315315,0.16760110042396728,1.0,0.9046546546546547,2.527171360209568,,0.2533783783783784,0.0,3,10,1.0,0.731416146447362,0.6911834703736012,1.0,9.829090649677775,0.11416906030916693,0.9046546546546547,0,,,True
law,frozen,base,444,exp4_law_frozen__base_cfs.npz,8,6,6,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,75.25,444,444,1.0,0.7815315315315315,0.7815315315315315,0.16760110042396728,1.0,0.9046546546546547,2.527171360209568,,0.2533783783783784,0.0,3,10,1.0,0.731416146447362,0.6911834703736012,1.0,9.829090649677775,0.11416906030916693,0.9046546546546547,0,,,True
law,frozen,bw16,444,exp4_law_frozen__bw16_cfs.npz,16,6,6,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,10.08,444,444,1.0,0.7815315315315315,0.7815315315315315,0.16894945034969952,1.0,0.9091591591591591,2.5271722580411238,,0.35585585585585583,0.0,3,10,1.0,0.7323496194728689,0.6917491885500036,1.0,9.55632742787155,0.1141461421687113,0.9091591591591591,0,,,True
law,frozen,bw32,444,exp4_law_frozen__bw32_cfs.npz,32,6,6,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,10.87,444,444,1.0,0.7815315315315315,0.7815315315315315,0.17030630063909077,1.0,0.9099099099099099,2.5271722547167417,,0.34797297297297297,0.0,3,10,1.0,0.7332889773655245,0.6924184373927376,1.0,9.596942684236167,0.11355913606668495,0.9099099099099099,0,,,True
law,frozen,bw4,444,exp4_law_frozen__bw4_cfs.npz,4,6,6,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,9.7,444,444,1.0,0.7815315315315315,0.7815315315315315,0.17163475370858422,1.0,0.9136636636636637,2.5271722541932466,,0.34797297297297297,0.0,3,10,1.0,0.7342086756444045,0.6927416139964561,1.0,9.625022064858522,0.11372301409829846,0.9136636636636637,0,,,True
law,frozen,ctx1024,444,exp4_law_frozen__ctx1024_cfs.npz,8,6,6,interior,1.0,1.0,1024,4,4096,,True,6931e21,20359852,cuda,10.56,444,444,1.0,0.7815315315315315,0.7815315315315315,0.1768477849485399,1.0,0.9234234234234234,-0.009476554684265621,,0.1373873873873874,0.0,3,10,1.0,0.7378176972720661,0.6947312864597959,1.0,3.8679599287563255,0.11475815779543716,0.9234234234234234,0,,,True
law,frozen,ctx512,444,exp4_law_frozen__ctx512_cfs.npz,8,6,6,interior,1.0,1.0,512,4,4096,,True,6931e21,20359852,cuda,10.24,444,444,1.0,0.7815315315315315,0.7815315315315315,0.18466666110812888,1.0,0.9159159159159159,2.477746364363008,,0.26126126126126126,0.0,3,10,1.0,0.7432307653825507,0.6985170325010215,1.0,9.661195856919322,0.11415413859815039,0.9159159159159159,0,,,True
law,frozen,lam0,444,exp4_law_frozen__lam0_cfs.npz,8,6,6,interior,0.0,0.0,256,4,4096,,True,e8bc0eb,20359810,cuda,8.66,444,444,1.0,0.7815315315315315,0.7815315315315315,0.17029288111739613,1.0,0.9174174174174174,2.5471437999947137,,0.35923423423423423,0.0,3,10,1.0,0.7332796869274282,0.6920560469690121,1.0,12.659502055097418,0.11784579733732888,0.9174174174174174,0,,,True
law,frozen,lam0.1,444,exp4_law_frozen__lam0.1_cfs.npz,8,6,6,interior,0.1,0.1,256,4,4096,,True,e8bc0eb,20359810,cuda,9.03,444,444,1.0,0.7815315315315315,0.7815315315315315,0.1699825817305463,1.0,0.9136636636636637,2.527171360209568,,0.35923423423423423,0.0,3,10,1.0,0.7330648642749936,0.6920018101869414,1.0,9.630479079196123,0.11556832768304384,0.9136636636636637,0,,,True
law,frozen,lam10,444,exp4_law_frozen__lam10_cfs.npz,8,6,6,interior,10.0,10.0,256,4,4096,,True,e8bc0eb,20359810,cuda,8.91,444,102,0.22972972972972974,0.28153153153153154,0.7815315315315315,0.07612494470715271,1.0,0.6339869281045751,0.04114638142066874,,0.0784313725490196,0.0,3,10,1.0,0.6680865001818748,0.6545006434706886,1.0,5.24190029814397,0.09223434873168615,0.7132132132132132,0,,,True
law,frozen,lam3,444,exp4_law_frozen__lam3_cfs.npz,8,6,6,interior,3.0,3.0,256,4,4096,,True,e8bc0eb,20359810,cuda,8.8,444,372,0.8378378378378378,0.6644144144144144,0.7815315315315315,0.1421724297738986,1.0,0.8700716845878136,-0.018145060531352068,,0.06048387096774194,0.0,3,10,1.0,0.7138116821511605,0.681371192867702,1.0,6.243866301995069,0.10668851007682227,0.8791291291291291,0,,,True
law,frozen,nc10,444,exp4_law_frozen__nc10_cfs.npz,8,10,10,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,9.23,444,227,0.5112612612612613,0.5,0.7815315315315315,0.18758153867944663,1.0,0.9280469897209985,1.922087680499606,,0.4779735682819383,0.0,3,10,1.0,0.7452487575473092,0.7000765578280068,1.0,6.368573396547537,0.12025503441248925,0.8971471471471472,0,,,True
law,frozen,nc16,444,exp4_law_frozen__nc16_cfs.npz,8,16,16,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,9.63,444,444,1.0,0.7815315315315315,0.7815315315315315,0.1782357804954219,1.0,0.924924924924925,-0.005195770343000177,,0.34797297297297297,0.0,3,10,1.0,0.7387786172660613,0.6956460027354475,1.0,6.166774461496803,0.11598329798686965,0.924924924924925,0,,,True
law,frozen,nc4,444,exp4_law_frozen__nc4_cfs.npz,8,4,4,interior,1.0,1.0,256,4,4096,,True,e8bc0eb,20359810,cuda,9.31,444,444,1.0,0.7815315315315315,0.7815315315315315,0.17631598283552488,1.0,0.9204204204204204,-0.0034912364274541953,,0.23423423423423423,0.0,3,10,1.0,0.7374495265784403,0.6949494142586367,1.0,6.338227234573102,0.11599645001057536,0.9204204204204204,0,,,True
law,frozen,probs-tail,444,exp4_law_frozen__probs-tail_cfs.npz,8,6,6,"0.05,0.25,0.5,0.75,0.95",1.0,1.0,256,4,4096,,True,6931e21,20359852,cuda,10.21,444,444,1.0,0.7815315315315315,0.7815315315315315,0.17672595184619996,1.0,0.9226726726726727,-0.0034924249646205805,,0.23310810810810811,0.0,3,10,1.0,0.7377333512781384,0.6950189706480834,1.0,6.3433653010145035,0.11613496014792529,0.9226726726726727,0,,,True
