dataset,set,validity,lof_scores_cf,sparsity,actionability,true_actionability,proximity_l2_jaccard,proximity_l1,l0_count_mean,l0_count_valid,sparsity_tol,n_valid,n_total,frac_oob,immutable_drift_mean,immutable_drift_max,proximity_l2_continuous,cat_change_rate,n_categorical_features
heloc,fromscratch,1.0,1.008707238463465,1.0,0.0,0.0,0.8290533929891315,2.623426034890875,17.9612810707457,17.9612810707457,0.7809252639454651,2092.0,2092.0,0.0,0.11227813724719565,0.3725677713130911,,,
heloc,frozen,0.3761950286806883,6528790.513981599,0.7391720009975892,0.0,0.998565965583174,0.5607332487852666,1.4371863097003323,10.759082217973232,11.621346886912326,0.4677861833901405,787.0,2092.0,0.0014340344168260039,0.0,0.0,,,
law,frozen,1.0,8.72173457905332,1.0,0.0,1.0,1.1281390672283562,1.8548150609359384,4.414414414414415,4.414414414414415,0.33957033957033955,444.0,444.0,0.0,0.0,0.0,0.36694902882266744,0.23536036036036037,2.0
