source,dataset,target_model,method,seed,generation_tau,confidence_conditioned,evaluation_tau,achieved_probability_mean,threshold_validity,coverage,proximity_grouped_gower,timing_total_s
e4,heloc,retained_logistic_regression,countercontex,17,0.5,False,0.5,0.5098207468301825,1.0,0.956,0.022182459024719558,413.63735400600126
e4,heloc,retained_logistic_regression,countercontex,17,0.5,False,0.6,0.5098207468301825,0.0,0.956,0.022182459024719558,413.63735400600126
e4,heloc,retained_logistic_regression,countercontex,17,0.5,False,0.7,0.5098207468301825,0.0,0.956,0.022182459024719558,413.63735400600126
e4,heloc,retained_logistic_regression,countercontex,17,0.5,False,0.8,0.5098207468301825,0.0,0.956,0.022182459024719558,413.63735400600126
e4,heloc,retained_logistic_regression,countercontex,17,0.5,False,0.9,0.5098207468301825,0.0,0.956,0.022182459024719558,413.63735400600126
e4,heloc,retained_logistic_regression,countercontex,42,0.5,False,0.5,0.5098207468301825,1.0,0.956,0.022182459024719558,379.65022588102147
e4,heloc,retained_logistic_regression,countercontex,42,0.5,False,0.6,0.5098207468301825,0.0,0.956,0.022182459024719558,379.65022588102147
e4,heloc,retained_logistic_regression,countercontex,42,0.5,False,0.7,0.5098207468301825,0.0,0.956,0.022182459024719558,379.65022588102147
e4,heloc,retained_logistic_regression,countercontex,42,0.5,False,0.8,0.5098207468301825,0.0,0.956,0.022182459024719558,379.65022588102147
e4,heloc,retained_logistic_regression,countercontex,42,0.5,False,0.9,0.5098207468301825,0.0,0.956,0.022182459024719558,379.65022588102147
e4,heloc,retained_logistic_regression,countercontex,101,0.5,False,0.5,0.5098207468301825,1.0,0.956,0.022182459024719558,417.8912097319844
e4,heloc,retained_logistic_regression,countercontex,101,0.5,False,0.6,0.5098207468301825,0.0,0.956,0.022182459024719558,417.8912097319844
e4,heloc,retained_logistic_regression,countercontex,101,0.5,False,0.7,0.5098207468301825,0.0,0.956,0.022182459024719558,417.8912097319844
e4,heloc,retained_logistic_regression,countercontex,101,0.5,False,0.8,0.5098207468301825,0.0,0.956,0.022182459024719558,417.8912097319844
