dataset,target_model,method,method_variant,backend,n_counterfactuals,seed_n,primary_coverage_mean,primary_coverage_std,primary_coverage_n,primary_validity_returned_class_mean,primary_validity_returned_class_std,primary_validity_returned_class_n,primary_validity_returned_threshold_mean,primary_validity_returned_threshold_std,primary_validity_returned_threshold_n,proximity_grouped_gower_mean,proximity_grouped_gower_std,proximity_grouped_gower_n,action_unit_sparsity_mean_mean,action_unit_sparsity_mean_std,action_unit_sparsity_mean_n
bank_marketing,retained_mlp,dice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.1016,0.00876356092008266,5,0.1020372360411542,0.0006909578730177561,5,1.8272000000000002,0.0160996894379985,5
bank_marketing,retained_xgboost,dice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.013600000000000001,0.0021908902300206644,5,0.1085893304689127,0.0018820930454843626,5,2.0912000000000006,0.02142895237756622,5
bank_marketing,retained_logistic_regression,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.384,0.0,5,0.08161010981958304,0.0,5,3.464,0.0,5
bank_marketing,retained_mlp,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.11600000000000002,1.5515838457795457e-17,5,0.06609624684482755,0.0,5,3.112,0.0,5
bank_marketing,retained_xgboost,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.076,0.0,5,0.07239346316870109,0.0,5,3.28,0.0,5
bank_marketing,retained_logistic_regression,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.07120000000000001,0.01245792920191795,5,0.07587815847974036,0.0012905061770176224,5,1.5824000000000003,0.023082460874005634,5
bank_marketing,retained_mlp,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.08800000000000001,0.016733200530681516,5,0.06306609894257889,0.0008322856205209197,5,1.1104000000000003,0.01824280680158616,5
bank_marketing,retained_xgboost,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0056,0.004560701700396552,5,0.05602633468620201,0.001381949183894493,5,1.3544,0.021651789764358918,5
bank_marketing,retained_logistic_regression,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.336,0.0,5,0.033007638368884484,0.0,5,1.28,0.0,5
bank_marketing,retained_mlp,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.12,0.0,5,0.03495860139819899,0.0,5,1.328,0.0,5
