dataset,target_model,method,method_variant,backend,n_counterfactuals,seed_n,set_coverage_at_k_mean,set_coverage_at_k_std,set_coverage_at_k_n,set_validity_returned_class_mean,set_validity_returned_class_std,set_validity_returned_class_n,set_validity_returned_threshold_mean,set_validity_returned_threshold_std,set_validity_returned_threshold_n,proximity_grouped_gower_mean,proximity_grouped_gower_std,proximity_grouped_gower_n,set_action_jaccard_mean_mean,set_action_jaccard_mean_std,set_action_jaccard_mean_n,set_pairwise_gower_mean_mean,set_pairwise_gower_mean_std,set_pairwise_gower_mean_n
adult_census,retained_logistic_regression,countercontex,default,tabicl,3,5,1.0,0.0,5,1.0,0.0,5,0.11200000000000002,1.5515838457795457e-17,5,0.0676591141963417,0.0,5,0.5815079365079365,0.0,5,0.07425753583282423,0.0,5
adult_census,retained_logistic_regression,dice,default,,3,5,0.6104,0.0334185577187287,5,1.0,0.0,5,0.16557529453785458,0.006872252930819149,5,0.16460886813029665,0.001411914741328839,5,0.37796103149525495,0.007918568670743913,5,0.13902947931434217,0.0015711217790821193,5
bank_marketing,retained_logistic_regression,countercontex,default,tabicl,3,5,1.0,0.0,5,1.0,0.0,5,0.14133333333333334,0.0,5,0.02411860143256625,0.0,5,0.14146666666666668,0.0,5,0.015844125960406245,0.0,5
bank_marketing,retained_logistic_regression,dice,default,,3,5,0.9168000000000001,0.017527121840165333,5,1.0,0.0,5,0.03438645942454801,0.004910821814443041,5,0.12460015048988175,0.0017508443457954254,5,0.4150784114871131,0.012532522404639836,5,0.11445390390344543,0.002306951915159273,5
german_credit,retained_logistic_regression,countercontex,default,tabicl,3,5,1.0,0.0,5,1.0,0.0,5,0.005555555555555556,0.0,5,0.05990332459721963,0.0,5,0.9396296296296296,0.0,5,0.10397397456166371,0.0,5
german_credit,retained_logistic_regression,dice,default,,3,5,0.8066666666666666,0.026614532371118844,5,1.0,0.0,5,0.04597334827150577,0.009884580494640353,5,0.08231728794096003,0.0008611257138758177,5,0.7369195181922722,0.01515261534699049,5,0.11292525631238778,0.0032759753557548587,5
give_me_some_credit,retained_logistic_regression,countercontex,default,tabicl,3,5,1.0,0.0,5,1.0,0.0,5,0.392,0.0,5,0.07909342123727563,0.0,5,0.6744888888888889,0.0,5,0.1022528678502779,1.5515838457795457e-17,5
give_me_some_credit,retained_logistic_regression,dice,default,,3,5,0.47519999999999996,0.04013975585376673,5,1.0,0.0,5,0.28316115936441155,0.010156665280229283,5,0.10015992605686067,0.0005651514827763464,5,0.39841576613720286,0.021090592221953867,5,0.0912362869785158,0.003022034073117112,5
heloc,retained_logistic_regression,countercontex,default,tabicl,3,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.016411529562454015,0.0,5,0.6510488696488698,0.0,5,0.01433609601413457,1.939479807224432e-18,5
heloc,retained_logistic_regression,dice,default,,3,5,0.7303999999999998,0.0334185577187287,5,1.0,0.0,5,0.0,0.0,5,0.018117961548752066,0.00018458106359500948,5,0.5267812653757844,0.008319636467936835,5,0.015998863421236745,0.0005930869590820563,5
lending_club,retained_logistic_regression,countercontex,default,tabicl,3,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.15620827770360482,0.0,5,0.09256059939999825,0.0,5,0.618716577540107,0.0,5,0.0300327421102553,3.878959614448864e-18,5
lending_club,retained_logistic_regression,dice,default,,3,5,0.45519999999999994,0.014254823744964366,5,1.0,0.0,5,0.12267141095136844,0.004179461080359747,5,0.1079537107939386,0.0009516279929878428,5,0.34827907171152306,0.009909737234303157,5,0.04886783558776094,0.0025506023745568668,5
